agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,current_rating_nu,shift_adj_va,diff_from_rating_pc,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
USGS,8158810,38,1982-04-06,,Yes,MED,USGS,2.38,0.29,1,-0.02,-3,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.29,3.3,0.38,0.76,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,39,1982-05-20,,Yes,MED,USGS,2.75,15.9,1,0.22,-1,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,15.9,20.5,15.2,1.05,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,40,1982-06-29,,Yes,MED,USGS,2.39,3.08,1,0.2,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,3.08,16,7.48,0.41,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,41,1982-08-23,,Yes,MED,USGS,2.13,0.09,1,0.11,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.09,0.4,0.08,1.13,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,42,11/15/82 11:40 AM,CST,Yes,MED,USGS,2.23,0.38,1,0.15,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.38,4,0.45,0.84,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,43,12/28/82 02:52 PM,CST,Yes,MED,USGS,2.4,3.07,1,0.19,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.07,15,6.81,0.45,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,44,02/07/83 12:20 PM,CST,Yes,MED,USGS,2.42,4.24,1,0.22,-2,GOOD,0,,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,4.24,17,7.64,0.55,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,45,03/21/83 10:50 AM,CST,Yes,MED,USGS,2.64,11.8,1,0.24,0,GOOD,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,11.8,18,10.1,1.17,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,46,05/04/83 11:02 AM,CDT,Yes,MED,USGS,2.36,3.18,1,0.23,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.18,15.5,6.37,0.5,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,47,06/22/83 02:03 PM,CDT,Yes,MED,USGS,2.46,6.57,1,0.26,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.57,17.4,10.5,0.62,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,48,07/26/83 01:09 PM,CDT,Yes,MED,USGS,2.42,5.33,1,0.26,-2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,5.33,17,12.3,0.43,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,49,09/07/83 11:02 AM,CDT,Yes,MED,USGS,2.17,1.05,1,0.3,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.05,8,1.89,0.55,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,50,10/19/83 01:35 PM,CDT,Yes,MED,USGS,2.26,1.96,1,0.27,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.96,15,8.86,0.22,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,51,11/30/83 12:47 PM,CST,Yes,MED,USGS,2.18,1.09,1,0.29,1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.09,7.2,2.9,0.38,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,52,01/05/84 02:27 PM,CST,Yes,MED,USGS,2.15,0.79,1,0.3,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.79,9.2,2.28,0.35,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,53,02/23/84 10:45 AM,CST,Yes,MED,USGS,2.16,0.88,1,0.3,-3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.88,7.3,2.98,0.3,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,54,04/03/84 02:54 PM,CST,Yes,MED,USGS,2.19,0.95,1,0.27,5,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.95,10.5,3.15,0.3,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,55,05/14/84 10:46 AM,CDT,Yes,MED,USGS,2.07,0.26,1,0.28,-6,FAIR,0,,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,0.26,2.7,0.43,0.6,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,56,11/02/84 11:38 AM,CST,Yes,MED,USGS,2.42,2.86,1,0.16,0,FAIR,0.02,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,2.86,15.5,9.06,0.32,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,57,1984-12-17,,Yes,MED,USGS,2.53,6.44,1,0.19,-2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.44,17,9.39,0.68,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,58,1985-01-23,,Yes,MED,USGS,2.74,14.9,1,0.21,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,14.9,20.5,14.4,1.04,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,59,1985-03-11,,Yes,MED,USGS,2.64,12.4,1,0.25,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,12.4,20.6,13.9,0.89,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,60,1985-04-19,,Yes,MED,USGS,2.46,5.83,1,0.23,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,5.83,18,11.9,0.49,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,61,05/30/85 09:25 AM,CDT,Yes,MED,USGS,2.25,1.43,1,0.25,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.43,14,4.19,0.34,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,62,07/11/85 09:35 AM,CDT,Yes,MED,USGS,2.41,3.87,1,0.21,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.87,18,10.2,0.38,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,63,1985-08-22,,Yes,MED,USGS,2.14,0.22,1,0.19,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.22,3.8,0.51,0.43,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,64,10/02/85 09:42 AM,CDT,Yes,MED/S,USGS,2.22,0.8,1,0.23,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.8,11,2.89,0.28,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,66,1985-11-21,,Yes,MED,USGS,2.42,4.05,1,0.22,-6,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.05,17,11.6,0.35,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,65,11/21/85 09:57 AM,CST,Yes,MED,USGS,2.42,4.38,1,0.22,1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.38,16.4,6.54,0.67,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,67,12/24/85 10:46 AM,CST,Yes,MED,USGS,2.58,8.32,1,0.2,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,8.32,18,10.7,0.78,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,68,02/07/86 11:47 AM,CST,Yes,MED,USGS,2.46,4.91,1,0.2,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.91,18,9.9,0.5,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,69,1986-03-27,,Yes,MED,USGS,2.32,1.73,1,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.73,14,4.48,0.39,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,70,1986-05-12,,Yes,DLS,USGS,2.58,6.72,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.72,18.5,11.4,0.59,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,71,1986-06-25,,Yes,DLS,USGS,2.64,9.83,,0,,FAIR,0,1,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,9.83,19.5,13.7,0.94,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,72,1986-08-05,,Yes,DLS,USGS,2.33,0.97,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.97,10.7,2.75,0.36,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,73,1986-09-16,,Yes,DLS,USGS,2.3,0.44,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.44,8.6,3.22,0.14,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,74,1986-10-31,,Yes,DLP,USGS,2.82,0,2,0,,GOOD,0,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,16,29,0.69,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,75,1986-11-20,,Yes,DLP,USGS,2.56,0,,0,,FAIR,0,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,17.7,12.2,0.63,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,76,1987-01-09,,Yes,DLP,USGS,2.78,0,,0,,GOOD,0,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,16,27.4,0.7,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,77,1987-02-27,,Yes,DLP,USGS,2.87,0,,0,,GOOD,0,1,,UNSP,1,Unspecified,WADE,QUNSP,,0,16,29.7,0.85,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,78,1987-04-17,,Yes,DLP,USGS,2.41,0,,0,,FAIR,0,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,8.4,3.3,1.04,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,79,1987-05-29,,Yes,DLS/J V,USGS,3.15,0,,0,,FAIR,-0.02,1,,UNSP,1,Unspecified,WADE,QUNSP,,0,34.5,26.6,2,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,80,1987-06-01,,Yes,DLS,USGS,2.96,0,,0,,GOOD,-0.01,1,,UNSP,1,Unspecified,WADE,QUNSP,,0,19,32,0.94,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,81,1987-06-05,,Yes,DLS,USGS,3.5,0,,0,,GOOD,-0.02,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,32,39.6,2.48,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,82,07/27/87 01:25 PM,CDT,Yes,JKV,USGS,2.4,3.16,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.16,5.7,4.87,0.65,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,83,09/16/87 10:15 AM,CDT,Yes,DLS,USGS,2.17,0.25,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.25,2.5,0.64,0.39,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,84,11/04/87 12:45 PM,CST,Yes,DLS,USGS,2.07,0.04,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.04,0.68,0.06,0.67,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,85,12/21/87 11:39 AM,CST,Yes,DLP,USGS,2.37,1.55,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.55,5.7,2.09,0.74,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,86,02/10/88 10:38 AM,CST,Yes,DLP,USGS,2.28,0.88,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.88,6,1.51,0.58,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,87,03/30/88 10:13 AM,CST,Yes,DLP,USGS,2.24,0.57,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.57,2.6,0.68,0.84,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,88,05/16/88 10:09 AM,CDT,Yes,DLP,USGS,2.19,0.31,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.31,1.9,0.27,1.15,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,89,07/06/88 11:50 AM,CDT,Yes,MMM,USGS,2.12,0.04,,0,,FAIR,0,1,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,0.04,0.6,0.08,0.5,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,90,03/07/89 12:10 PM,CST,Yes,DLP,USGS,2.2,0.16,,0,,FAIR,0,1,,MEAS,1,Unspecified,WADE,QUNSP,,0.16,1.5,0.25,0.64,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,91,04/25/89 12:40 PM,CDT,Yes,DLP,USGS,2.45,3.11,,0,,GOOD,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.11,6.2,3.12,1,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,92,06/13/89 12:35 PM,CDT,Yes,DLP,USGS,2.48,2.34,,0,,GOOD,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,2.34,9.5,3.9,0.6,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,93,08/07/89 01:34 PM,CDT,Yes,DLP,USGS,2.16,0.06,,0,,FAIR,0,1,,MEAS,1,Unspecified,WADE,QUNSP,,0.06,1.2,0.15,0.4,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,94,11/08/89 11:14 AM,CST,Yes,DLP,USGS,2.17,0.04,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.04,0.5,0.07,0.57,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,95,02/15/90 04:01 PM,CST,Yes,DLP/RRS,USGS,2.22,0.01,,0,,POOR,0,1,,OTHR,1,Unspecified,WADE,QUNSP,,0.01,0.7,0.08,0.12,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,96,04/04/90 11:56 AM,CDT,Yes,DLP,USGS,2.42,1.46,,0,,GOOD,0,1,,UNSP,1,Unspecified,WADE,QUNSP,,1.46,4.8,1.78,0.82,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,97,05/03/90 12:30 PM,CDT,Yes,MMM,USGS,3.1,36.9,,0,,FAIR,-0.02,1,,MEAS,1,Unspecified,WADE,QUNSP,,36.9,16.3,33,1.22,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,98,05/22/90 11:38 AM,CDT,Yes,DLP,USGS,2.55,2.96,,0,,GOOD,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,2.96,9.8,4.62,0.64,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,99,01/08/91 09:44 AM,CST,Yes,DLP,USGS,2.38,1.24,,0,,GOOD,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.24,5.4,1.93,0.64,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,100,02/15/91 11:08 AM,CST,Yes,DLP,USGS,2.7,11.1,,0,,GOOD,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,11.1,7.4,8.05,1.38,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
