#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2016-09-09 23:32:40 EDT      (sdww01)
#
# ---------------------WARNING---------------------
# The data you have obtained from this automated
# U.S. Geological Survey database have not received
# Director's approval and as such are provisional
# and subject to revision.  The data are released
# on the condition that neither the USGS nor the
# United States Government may be held liable for
# any damages resulting from its use.
#
# Further Descriptions of the parameter_cd column can be found at:
# http://waterdata.usgs.gov/nwis/pmcodes
# Further Descriptions of codes in the result_cd column can be found at:
# http://waterdata.usgs.gov/nwis/help?codes_help#surface_water
#
# This information includes the following fields:
#
#  agency_cd    Agency Code
#  station_nm   Station Name
#  site_no      USGS station number
#  ts_id        TimeSeries ID
#  parameter_cd Parameter Code
#  result_dt    Date that the result was taken
#  result_tz_cd Time datum
#  result_va    Current value
#  result_cd    Code to show data quality
#  result_md    Date the result was modified in the NWIS database
#
agency_cd	site_no	station_nm	ts_id	parameter_cd	result_dt	result_tz_cd	result_va	result_cd	result_md
USGS	01011500	St. Francis River near Connors, New Brunswick	65353	00065	2016-09-09 22:00:00	EDT	2.55		2016-09-09 22:56:33
USGS	01013500	Fish River near Fort Kent, Maine	65354	00060	2016-09-09 22:45:00	EDT	647		2016-09-09 23:05:06
USGS	01013500	Fish River near Fort Kent, Maine	65357	00065	2016-09-09 22:45:00	EDT	3.78		2016-09-09 23:05:06
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	65358	00060	2016-09-09 22:30:00	EDT	3510		2016-09-09 22:56:33
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	65360	00065	2016-09-09 22:30:00	EDT	4.59		2016-09-09 22:56:33
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	65361	00020	2016-09-09 22:30:00	EDT	15.3		2016-09-09 22:56:33
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine	65362	00021	2016-09-09 22:30:00	EDT	59.5		2016-09-09 22:56:33
USGS	01015800	Aroostook River near Masardis, Maine	65364	00060	2016-09-09 23:15:00	EDT	315		2016-09-09 23:28:33
USGS	01015800	Aroostook River near Masardis, Maine	65367	00020	2016-09-09 23:15:00	EDT	14.6		2016-09-09 23:28:33
USGS	01015800	Aroostook River near Masardis, Maine	65368	00021	2016-09-09 23:15:00	EDT	58.3		2016-09-09 23:28:33
USGS	01015800	Aroostook River near Masardis, Maine	65369	00065	2016-09-09 23:15:00	EDT	3.18		2016-09-09 23:28:33
USGS	01017000	Aroostook River at Washburn, Maine	65370	00060	2016-09-09 23:00:00	EDT	673		2016-09-09 23:06:36
USGS	01017000	Aroostook River at Washburn, Maine	65371	00065	2016-09-09 23:00:00	EDT	1.74		2016-09-09 23:06:36
USGS	01017060	Hardwood Brook below Glidden Brk nr Caribou, Maine	65374	00065	2016-09-09 23:20:00	EDT	1.441		2016-09-09 23:28:33
USGS	01017060	Hardwood Brook below Glidden Brk nr Caribou, Maine	65375	00060	2016-09-09 23:20:00	EDT	4.3		2016-09-09 23:28:33
USGS	01017290	Little Madawaska River at Caribou, Maine	65378	00065	2016-09-09 22:30:00	EDT	3.55		2016-09-09 22:56:33
USGS	01017290	Little Madawaska River at Caribou, Maine	65379	00060	2016-09-09 22:30:00	EDT	126		2016-09-09 22:56:33
USGS	01017550	Williams Brook at Phair, Maine	65382	00065	2016-09-09 22:45:00	EDT	1.421		2016-09-09 23:05:06
USGS	01017550	Williams Brook at Phair, Maine	65383	00060	2016-09-09 22:45:00	EDT	1.9		2016-09-09 23:05:06
USGS	01017960	Meduxnekeag R above S Br Medux. R nr Houlton, ME	65386	00065	2016-09-09 22:45:00	EDT	2.57		2016-09-09 23:05:06
USGS	01017960	Meduxnekeag R above S Br Medux. R nr Houlton, ME	65387	00060	2016-09-09 22:45:00	EDT	16		2016-09-09 23:05:06
USGS	01018009	Pearce Brook at Route 1 at Houlton, Maine	65394	00065	2016-09-09 22:30:00	EDT	1.832		2016-09-09 22:56:33
USGS	01018009	Pearce Brook at Route 1 at Houlton, Maine	65395	00060	2016-09-09 22:30:00	EDT	0.89		2016-09-09 22:56:33
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	65398	00065	2016-09-09 22:45:00	EDT	1.79		2016-09-09 23:05:06
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	65399	00060	2016-09-09 22:45:00	EDT	45		2016-09-09 23:05:06
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	65402	00010	2016-09-09 22:45:00	EDT	22.3		2016-09-09 23:05:06
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine	65403	00011	2016-09-09 22:45:00	EDT	72.1		2016-09-09 23:05:06
USGS	01018500	St. Croix River at Vanceboro, Maine	65410	00060	2016-09-09 23:15:00	EDT	684		2016-09-09 23:24:23
USGS	01018500	St. Croix River at Vanceboro, Maine	65411	00065	2016-09-09 23:15:00	EDT	5.00		2016-09-09 23:24:23
USGS	01018900	West Grand Lake at Grand Lake Stream, Maine	65414	62615	2016-09-09 23:00:00	EDT	298.66		2016-09-09 23:06:36
USGS	01018900	West Grand Lake at Grand Lake Stream, Maine	65415	00010	2016-09-09 23:00:00	EDT	22.8		2016-09-09 23:06:36
USGS	01018900	West Grand Lake at Grand Lake Stream, Maine	65418	00011	2016-09-09 23:00:00	EDT	73.0		2016-09-09 23:06:36
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine	65419	00065	2016-09-09 23:00:00	EDT	1.99		2016-09-09 23:06:36
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine	65420	00060	2016-09-09 23:00:00	EDT	177		2016-09-09 23:06:36
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine	65423	00020	2016-09-09 23:00:00	EDT	20.6		2016-09-09 23:06:36
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine	65424	00021	2016-09-09 23:00:00	EDT	69.1		2016-09-09 23:06:36
USGS	01019300	Lewy Lake at Princeton, Maine	65425	62615	2016-09-09 22:45:00	EDT	201.55		2016-09-09 23:05:06
USGS	01019300	Lewy Lake at Princeton, Maine	65426	00010	2016-09-09 22:45:00	EDT	23.4		2016-09-09 23:05:06
USGS	01019300	Lewy Lake at Princeton, Maine	65429	00011	2016-09-09 22:45:00	EDT	74.1		2016-09-09 23:05:06
USGS	01021000	St. Croix River at Baring, Maine	65430	00065	2016-09-09 23:15:00	EDT	4.71		2016-09-09 23:28:33
USGS	01021000	St. Croix River at Baring, Maine	65431	00060	2016-09-09 23:15:00	EDT	906		2016-09-09 23:28:33
USGS	01021050	St. Croix River at Milltown, Maine	65434	00010	2016-09-09 22:00:00	EDT	23.3		2016-09-09 23:05:06
USGS	01021050	St. Croix River at Milltown, Maine	65435	00095	2016-09-09 22:00:00	EDT	98		2016-09-09 23:05:06
USGS	01021050	St. Croix River at Milltown, Maine	65436	00300	2016-09-09 22:00:00	EDT	6.7		2016-09-09 23:05:06
USGS	01021050	St. Croix River at Milltown, Maine	65437	00400	2016-09-09 22:00:00	EDT	6.9		2016-09-09 23:05:06
USGS	01021050	St. Croix River at Milltown, Maine	65440	00301	2016-09-09 22:00:00	EDT	85		2016-09-09 23:05:06
USGS	01021050	St. Croix River at Milltown, Maine	65441	00011	2016-09-09 22:00:00	EDT	73.9		2016-09-09 23:05:06
USGS	01021060	St. Croix River at Calais, Maine	65442	00065	2016-09-09 23:00:00	EDT	-6.50		2016-09-09 23:06:36
USGS	01021470	Libby Brook near Northfield, Maine	65451	00065	2016-09-09 22:30:00	EDT	1.65		2016-09-09 22:58:35
USGS	01021470	Libby Brook near Northfield, Maine	65452	00060	2016-09-09 22:30:00	EDT	5.1		2016-09-09 22:58:35
USGS	01021480	Old Stream near Wesley, Maine	65455	00065	2016-09-09 22:30:00	EDT	3.55		2016-09-09 22:56:33
USGS	01021480	Old Stream near Wesley, Maine	65456	00060	2016-09-09 22:30:00	EDT	2.7		2016-09-09 22:56:33
USGS	01021480	Old Stream near Wesley, Maine	65459	00020	2016-09-09 22:30:00	EDT	18.1		2016-09-09 22:56:33
USGS	01021480	Old Stream near Wesley, Maine	65460	00021	2016-09-09 22:30:00	EDT	64.6		2016-09-09 22:56:33
USGS	01022294	East Br Bear Brook near Beddington, Maine	65461	00065	2016-09-09 23:00:00	EDT	4.952		2016-09-09 23:06:36
USGS	01022294	East Br Bear Brook near Beddington, Maine	65462	00060	2016-09-09 23:00:00	EDT	0.000		2016-09-09 23:06:36
USGS	01022500	Narraguagus River at Cherryfield, Maine	65468	00060	2016-09-09 23:00:00	EDT	34		2016-09-09 23:06:36
USGS	01022500	Narraguagus River at Cherryfield, Maine	65469	00065	2016-09-09 23:00:00	EDT	7.16		2016-09-09 23:06:36
USGS	01022500	Narraguagus River at Cherryfield, Maine	65472	00020	2016-09-09 23:00:00	EDT	19.9		2016-09-09 23:06:36
USGS	01022500	Narraguagus River at Cherryfield, Maine	65473	00021	2016-09-09 23:00:00	EDT	67.8		2016-09-09 23:06:36
USGS	01022840	Otter Creek near Bar Harbor, Maine	65474	00065	2016-09-09 22:25:00	EDT	1.516		2016-09-09 22:56:33
USGS	01022840	Otter Creek near Bar Harbor, Maine	65475	00060	2016-09-09 22:25:00	EDT	0.11		2016-09-09 22:56:33
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	65492	00065	2016-09-09 22:45:00	EDT	4.41		2016-09-09 23:05:06
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	65493	00060	2016-09-09 22:45:00	EDT	152		2016-09-09 23:05:06
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	65496	00020	2016-09-09 22:45:00	EDT	14.4		2016-09-09 23:05:06
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME	65497	00021	2016-09-09 22:45:00	EDT	57.9		2016-09-09 23:05:06
USGS	01029200	Seboeis River near Shin Pond, Maine	65498	00065	2016-09-09 23:00:00	EDT	4.66		2016-09-09 23:06:36
USGS	01029200	Seboeis River near Shin Pond, Maine	65499	00060	2016-09-09 23:00:00	EDT	49		2016-09-09 23:06:36
USGS	01029200	Seboeis River near Shin Pond, Maine	65502	00020	2016-09-09 23:00:00	EDT	15.2		2016-09-09 23:06:36
USGS	01029200	Seboeis River near Shin Pond, Maine	65503	00021	2016-09-09 23:00:00	EDT	59.4		2016-09-09 23:06:36
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	65504	00060	2016-09-09 22:30:00	EDT	827		2016-09-09 22:56:33
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	65505	00065	2016-09-09 22:30:00	EDT	5.11		2016-09-09 22:56:33
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	65508	00020	2016-09-09 22:30:00	EDT	20.6		2016-09-09 22:56:33
USGS	01029500	East Branch Penobscot River at Grindstone, Maine	65509	00021	2016-09-09 22:30:00	EDT	69.1		2016-09-09 22:56:33
USGS	01030350	Wytopitlock Stream near Wytopitlock Maine	65510	00065	2016-09-09 23:15:00	EDT	2.43		2016-09-09 23:28:33
USGS	01030350	Wytopitlock Stream near Wytopitlock Maine	65511	00060	2016-09-09 23:15:00	EDT	4.6		2016-09-09 23:28:33
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	65514	00060	2016-09-09 23:15:00	EDT	260		2016-09-09 23:28:33
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	65515	00065	2016-09-09 23:15:00	EDT	4.50		2016-09-09 23:28:33
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	65518	00020	2016-09-09 23:15:00	EDT	16.8		2016-09-09 23:28:33
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine	65519	00021	2016-09-09 23:15:00	EDT	62.2		2016-09-09 23:28:33
USGS	01031300	Piscataquis River at Blanchard, Maine	65520	00065	2016-09-09 22:30:00	EDT	3.23		2016-09-09 22:56:33
USGS	01031300	Piscataquis River at Blanchard, Maine	65521	00060	2016-09-09 22:30:00	EDT	5.2		2016-09-09 22:56:33
USGS	01031300	Piscataquis River at Blanchard, Maine	65524	00020	2016-09-09 22:30:00	EDT	19.2		2016-09-09 22:56:33
USGS	01031300	Piscataquis River at Blanchard, Maine	65525	00021	2016-09-09 22:30:00	EDT	66.6		2016-09-09 22:56:33
USGS	01031450	Kingsbury Stream at Abbot Village, Maine	65526	00065	2016-09-09 22:30:00	EDT	4.82		2016-09-09 22:56:33
USGS	01031450	Kingsbury Stream at Abbot Village, Maine	65527	00060	2016-09-09 22:30:00	EDT	2.7		2016-09-09 22:56:33
USGS	01031450	Kingsbury Stream at Abbot Village, Maine	65530	00020	2016-09-09 22:30:00	EDT	17.6		2016-09-09 22:56:33
USGS	01031450	Kingsbury Stream at Abbot Village, Maine	65531	00021	2016-09-09 22:30:00	EDT	63.7		2016-09-09 22:56:33
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine	65532	00065	2016-09-09 22:30:00	EDT	1.44		2016-09-09 22:58:35
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine	65533	00060	2016-09-09 22:30:00	EDT	13		2016-09-09 22:58:35
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine	65537	00020	2016-09-09 22:30:00	EDT	17.7		2016-09-09 22:58:35
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine	65538	00021	2016-09-09 22:30:00	EDT	63.9		2016-09-09 22:58:35
USGS	01031510	Black Stream near Dover-Foxcroft, Maine	65539	00065	2016-09-09 22:30:00	EDT	2.36		2016-09-09 22:56:33
USGS	01031510	Black Stream near Dover-Foxcroft, Maine	65540	00060	2016-09-09 22:30:00	EDT	1.9		2016-09-09 22:56:33
USGS	01034000	Piscataquis River at Medford, Maine	65543	00060	2016-09-09 22:15:00	EDT	136		2016-09-09 22:54:24
USGS	01034000	Piscataquis River at Medford, Maine	65544	00065	2016-09-09 22:15:00	EDT	1.33		2016-09-09 22:54:24
USGS	01034500	Penobscot River at West Enfield, Maine	65547	00060	2016-09-09 22:30:00	EDT	4380		2016-09-09 22:56:33
USGS	01034500	Penobscot River at West Enfield, Maine	65548	00065	2016-09-09 22:30:00	EDT	2.33		2016-09-09 22:56:33
USGS	01034500	Penobscot River at West Enfield, Maine	65551	00020	2016-09-09 22:30:00	EDT	20.8		2016-09-09 22:56:33
USGS	01034500	Penobscot River at West Enfield, Maine	65552	00021	2016-09-09 22:30:00	EDT	69.4		2016-09-09 22:56:33
USGS	01034500	Penobscot River at West Enfield, Maine	65553	00065	2016-09-09 22:30:00	EDT	2.26		2016-09-09 22:56:33
USGS	01036390	Penobscot River at Eddington, Maine	65558	00065	2016-09-09 22:30:00	EDT	2.64		2016-09-09 22:58:35
USGS	01037000	Kenduskeag Stream near Bangor, Maine	65564	00060	2016-09-09 23:15:00	EDT	3.4		2016-09-09 23:28:33
USGS	01037000	Kenduskeag Stream near Bangor, Maine	65565	00065	2016-09-09 23:15:00	EDT	2.50		2016-09-09 23:28:33
USGS	01037050	Penobscot River at Bangor, Maine	65570	00065	2016-09-09 23:06:00	EDT	-4.94		2016-09-09 23:12:33
USGS	01037380	Ducktrap River near Lincolnville, Maine	65571	00065	2016-09-09 23:15:00	EDT	1.00		2016-09-09 23:28:33
USGS	01037380	Ducktrap River near Lincolnville, Maine	65572	00060	2016-09-09 23:15:00	EDT	0.02		2016-09-09 23:28:33
USGS	01037380	Ducktrap River near Lincolnville, Maine	65575	00020	2016-09-09 23:15:00	EDT	17.2		2016-09-09 23:28:33
USGS	01037380	Ducktrap River near Lincolnville, Maine	65576	00021	2016-09-09 23:15:00	EDT	63.0		2016-09-09 23:28:33
USGS	01038000	Sheepscot River at North Whitefield, Maine	65579	00060	2016-09-09 22:45:00	EDT	5.2		2016-09-09 23:06:36
USGS	01038000	Sheepscot River at North Whitefield, Maine	65580	00065	2016-09-09 22:45:00	EDT	1.41		2016-09-09 23:06:36
USGS	01038000	Sheepscot River at North Whitefield, Maine	65583	00020	2016-09-09 22:45:00	EDT	20.6		2016-09-09 23:06:36
USGS	01038000	Sheepscot River at North Whitefield, Maine	65584	00021	2016-09-09 22:45:00	EDT	69.1		2016-09-09 23:06:36
USGS	01042500	Kennebec River at The Forks, Maine	65585	00060	2016-09-09 22:15:00	EDT	1420		2016-09-09 22:54:24
USGS	01042500	Kennebec River at The Forks, Maine	65586	00065	2016-09-09 22:15:00	EDT	2.98		2016-09-09 22:54:24
USGS	01042500	Kennebec River at The Forks, Maine	65589	00021	2016-09-09 22:15:00	EDT	61.5		2016-09-09 22:54:24
USGS	01042500	Kennebec River at The Forks, Maine	65590	00020	2016-09-09 22:15:00	EDT	16.4		2016-09-09 22:54:24
USGS	01043500	Dead River near Dead River, Maine	65591	00060	2016-09-09 22:30:00	EDT	297		2016-09-09 22:58:35
USGS	01043500	Dead River near Dead River, Maine	65592	00065	2016-09-09 22:30:00	EDT	3.75		2016-09-09 22:58:35
USGS	01044550	Spencer Stream near Grand Falls, Maine	65595	00060	2016-09-09 23:00:00	EDT	47		2016-09-09 23:06:36
USGS	01044550	Spencer Stream near Grand Falls, Maine	65598	00065	2016-09-09 23:00:00	EDT	2.33		2016-09-09 23:06:36
USGS	01044550	Spencer Stream near Grand Falls, Maine	65599	00020	2016-09-09 23:00:00	EDT	15.1		2016-09-09 23:06:36
USGS	01044550	Spencer Stream near Grand Falls, Maine	65600	00021	2016-09-09 23:00:00	EDT	59.2		2016-09-09 23:06:36
USGS	01046000	Austin Stream at Bingham, Maine	65601	00060	2016-09-09 22:30:00	EDT	6.0		2016-09-09 22:56:33
USGS	01046000	Austin Stream at Bingham, Maine	65602	00065	2016-09-09 22:30:00	EDT	3.70		2016-09-09 22:56:33
USGS	01046500	Kennebec River at Bingham, Maine	65605	00060	2016-09-09 23:15:00	EDT	1790		2016-09-09 23:28:33
USGS	01046500	Kennebec River at Bingham, Maine	65606	00065	2016-09-09 23:15:00	EDT	7.21		2016-09-09 23:28:33
USGS	01046500	Kennebec River at Bingham, Maine	65609	00021	2016-09-09 23:15:00	EDT	63.5		2016-09-09 23:28:33
USGS	01046500	Kennebec River at Bingham, Maine	65610	00020	2016-09-09 23:15:00	EDT	17.5		2016-09-09 23:28:33
USGS	01047000	Carrabassett River near North Anson, Maine	65611	00065	2016-09-09 23:00:00	EDT	2.54		2016-09-09 23:06:36
USGS	01047000	Carrabassett River near North Anson, Maine	65612	00060	2016-09-09 23:00:00	EDT	51		2016-09-09 23:06:36
USGS	01047000	Carrabassett River near North Anson, Maine	65615	00021	2016-09-09 23:00:00	EDT	64.4		2016-09-09 23:06:36
USGS	01047000	Carrabassett River near North Anson, Maine	65616	00020	2016-09-09 23:00:00	EDT	18.0		2016-09-09 23:06:36
USGS	01047150	Kennebec River near Madison, Maine	65617	00065	2016-09-09 22:45:00	EDT	3.77		2016-09-09 23:05:06
USGS	01047150	Kennebec River near Madison, Maine	65618	00060	2016-09-09 22:45:00	EDT	2550		2016-09-09 23:05:06
USGS	01047200	Sandy River near Madrid, Maine	65621	00065	2016-09-09 23:00:00	EDT	3.72		2016-09-09 23:06:36
USGS	01047200	Sandy River near Madrid, Maine	65622	00060	2016-09-09 23:00:00	EDT	2.9		2016-09-09 23:06:36
USGS	01048000	Sandy River near Mercer, Maine	65625	00060	2016-09-09 23:00:00	EDT	50		2016-09-09 23:06:36
USGS	01048000	Sandy River near Mercer, Maine	65626	00065	2016-09-09 23:00:00	EDT	2.49		2016-09-09 23:06:36
USGS	01048000	Sandy River near Mercer, Maine	65629	00021	2016-09-09 23:00:00	EDT	62.6		2016-09-09 23:06:36
USGS	01048000	Sandy River near Mercer, Maine	65630	00020	2016-09-09 23:00:00	EDT	17.0		2016-09-09 23:06:36
USGS	01048220	East Branch Wesserunsett Stream near Athens, Maine	65631	00065	2016-09-09 23:00:00	EDT	2.24		2016-09-09 23:06:36
USGS	01048220	East Branch Wesserunsett Stream near Athens, Maine	65632	00060	2016-09-09 23:00:00	EDT	1.1		2016-09-09 23:06:36
USGS	01049265	Kennebec River at North Sidney, Maine	65641	00060	2016-09-09 22:15:00	EDT	2740		2016-09-09 22:54:24
USGS	01049265	Kennebec River at North Sidney, Maine	65642	00065	2016-09-09 22:15:00	EDT	5.76		2016-09-09 22:54:24
USGS	01049320	Kennebec River at Calumet Bridge at Augusta, Maine	65645	00065	2016-09-09 23:12:00	EDT	1.75		2016-09-09 23:21:12
USGS	01049500	Cobbosseecontee Stream at Gardiner, Maine	65648	00060	2016-09-09 22:45:00	EDT	20		2016-09-09 23:06:36
USGS	01049500	Cobbosseecontee Stream at Gardiner, Maine	65649	00065	2016-09-09 22:45:00	EDT	2.38		2016-09-09 23:06:36
USGS	01049505	Kennebec River at Gardiner, Maine	65652	00065	2016-09-09 23:00:00	EDT	2.84		2016-09-09 23:06:36
USGS	01051620	Umbagog Lake at Birch Camp, at Magalloway Plt, ME	65655	62615	2016-09-09 22:15:00	EDT	1244.62		2016-09-09 22:54:24
USGS	01051705	Umbagog Lake nr Dead Cambridge inlet, at Upton, ME	65657	62615	2016-09-09 22:15:00	EDT	1244.60		2016-09-09 22:54:24
USGS	01052500	Diamond River near Wentworth Location, NH	65661	00060	2016-09-09 22:15:00	EDT	64		2016-09-09 22:54:24
USGS	01052500	Diamond River near Wentworth Location, NH	65662	00065	2016-09-09 22:15:00	EDT	2.05		2016-09-09 22:54:24
USGS	01053500	Androscoggin River at Errol, NH	65665	00060	2016-09-09 23:15:00	EDT	1520		2016-09-09 23:28:33
USGS	01053500	Androscoggin River at Errol, NH	65666	00065	2016-09-09 23:15:00	EDT	2.24		2016-09-09 23:28:33
USGS	01053500	Androscoggin River at Errol, NH	65667	00021	2016-09-09 23:15:00	EDT	56.8		2016-09-09 23:28:33
USGS	01053500	Androscoggin River at Errol, NH	65670	00020	2016-09-09 23:15:00	EDT	13.8		2016-09-09 23:28:33
USGS	01053600	Androscoggin River below Bog Brook at Cambridge NH	65671	00065	2016-09-09 22:30:00	EDT	1.66		2016-09-09 23:05:06
USGS	01053600	Androscoggin River below Bog Brook at Cambridge NH	65672	00060	2016-09-09 22:30:00	EDT	1580		2016-09-09 23:05:06
USGS	01054000	Androscoggin River near Gorham, NH	65675	00060	2016-09-09 22:15:00	EDT	1460		2016-09-09 22:54:24
USGS	01054000	Androscoggin River near Gorham, NH	65676	00065	2016-09-09 22:15:00	EDT	3.14		2016-09-09 22:54:24
USGS	01054114	Peabody River at Gorham, New Hampshire	65679	00065	2016-09-09 23:15:00	EDT	2.84		2016-09-09 23:28:33
USGS	01054114	Peabody River at Gorham, New Hampshire	65680	00060	2016-09-09 23:15:00	EDT	19		2016-09-09 23:28:33
USGS	01054200	Wild River at Gilead, Maine	65683	00010	2016-09-09 22:45:00	EDT	21.4		2016-09-09 23:05:06
USGS	01054200	Wild River at Gilead, Maine	65684	00060	2016-09-09 22:45:00	EDT	11		2016-09-09 23:05:06
USGS	01054200	Wild River at Gilead, Maine	65685	00065	2016-09-09 22:45:00	EDT	2.13		2016-09-09 23:05:06
USGS	01054200	Wild River at Gilead, Maine	65691	00011	2016-09-09 22:45:00	EDT	70.5		2016-09-09 23:05:06
USGS	01054300	Ellis River at South Andover, Maine	65692	00060	2016-09-09 22:30:00	EDT	15		2016-09-09 22:58:35
USGS	01054300	Ellis River at South Andover, Maine	65693	00065	2016-09-09 22:30:00	EDT	4.43		2016-09-09 22:58:35
USGS	01054500	Androscoggin River at Rumford, Maine	65696	00065	2016-09-09 23:15:00	EDT	3.42		2016-09-09 23:24:23
USGS	01054500	Androscoggin River at Rumford, Maine	65697	00060	2016-09-09 23:15:00	EDT	1570		2016-09-09 23:24:23
USGS	01055000	Swift River near Roxbury, Maine	65700	00060	2016-09-09 22:30:00	EDT	18		2016-09-09 22:58:35
USGS	01055000	Swift River near Roxbury, Maine	65701	00065	2016-09-09 22:30:00	EDT	1.09		2016-09-09 22:58:35
USGS	01055000	Swift River near Roxbury, Maine	65704	00020	2016-09-09 22:30:00	EDT	16.4		2016-09-09 22:58:35
USGS	01055000	Swift River near Roxbury, Maine	65705	00021	2016-09-09 22:30:00	EDT	61.5		2016-09-09 22:58:35
USGS	01055500	Nezinscot River at Turner Center, Maine	65709	00060	2016-09-09 22:45:00	EDT	15		2016-09-09 23:06:36
USGS	01055500	Nezinscot River at Turner Center, Maine	65710	00065	2016-09-09 22:45:00	EDT	0.92		2016-09-09 23:06:36
USGS	01057000	Little Androscoggin River near South Paris, Maine	65713	00060	2016-09-09 23:15:00	EDT	4.7		2016-09-09 23:28:33
USGS	01057000	Little Androscoggin River near South Paris, Maine	65716	00065	2016-09-09 23:15:00	EDT	1.71		2016-09-09 23:28:33
USGS	01057000	Little Androscoggin River near South Paris, Maine	65717	00020	2016-09-09 23:15:00	EDT	15.1		2016-09-09 23:28:33
USGS	01057000	Little Androscoggin River near South Paris, Maine	65718	00021	2016-09-09 23:15:00	EDT	59.2		2016-09-09 23:28:33
